real_time,simulation_time_ns,total_access_count,para_count,flip_count
0,70,2,0,0
1,4101,122,0,0
2,8921,252,1,0
3,13144,366,2,0
4,17810,472,5,0
5,22558,602,6,0
6,27464,726,8,0
7,31169,836,8,0
8,36061,966,9,0
9,41559,1096,12,0
10,45934,1226,12,0
11,50446,1338,14,0
12,55583,1468,16,0
13,60360,1598,17,0
14,65151,1728,18,0
15,70028,1848,20,0
16,75063,1964,23,0
17,81017,2094,27,0
18,84628,2200,27,0
19,89434,2330,28,0
20,94573,2460,30,0
21,98850,2586,30,0
22,103198,2714,30,0
23,107994,2844,31,0
24,111405,2944,31,0
25,116106,3060,33,0
26,120818,3188,34,0
27,125438,3314,35,0
28,130690,3446,37,0
29,135374,3574,38,0
30,139939,3698,39,0
31,144044,3810,40,0
32,148837,3942,41,0
33,153249,4072,41,0
34,157934,4198,42,0
35,163061,4330,44,0
36,167499,4460,44,0
37,173712,4588,49,0
38,178011,4694,51,0
39,182411,4822,51,0
40,187256,4952,52,0
41,192039,5082,53,0
42,196660,5196,55,0
43,200992,5324,55,0
44,205800,5454,56,0
45,210563,5584,57,0
46,215506,5706,59,0
47,218897,5806,59,0
48,224435,5936,62,0
49,228669,6062,62,0
50,233329,6188,63,0
51,237894,6312,64,0
52,242825,6444,65,0
53,247584,6574,66,0
54,251981,6702,66,0
55,256052,6810,67,0
56,260477,6942,67,0
57,264880,7072,67,0
58,270079,7202,69,0
59,274853,7332,70,0
60,279242,7460,70,0
61,283599,7588,70,0
62,288624,7714,72,0
63,292776,7836,72,0
64,297385,7950,74,0
65,302374,8076,76,0
66,306291,8192,76,0
67,309435,8286,76,0
68,315639,8416,81,0
69,320473,8546,82,0
70,324599,8668,82,0
71,328895,8796,82,0
72,334029,8926,84,0
73,338830,9056,85,0
74,344623,9172,90,1
75,349477,9292,92,1
76,354626,9422,94,1
77,359708,9550,96,1
78,364547,9682,97,1
79,368950,9810,97,1
80,374447,9940,100,1
81,378997,10066,101,1
82,383232,10190,101,1
83,386460,10284,101,1
84,390007,10388,101,1
85,394727,10516,102,1
86,400326,10648,105,2
87,405046,10778,106,2
88,408924,10880,107,2
89,413541,11006,108,3
90,418413,11136,109,3
91,423467,11264,111,3
92,427871,11392,111,3
93,432309,11512,112,3
94,436647,11640,112,3
95,441426,11760,114,3
96,446178,11890,115,3
97,450965,12020,116,3
98,456015,12148,118,3
99,460643,12274,119,3
100,465173,12406,119,3
101,469938,12536,120,3
102,474548,12660,121,3
103,479388,12790,122,3
104,485330,12920,126,3
105,489625,13046,126,3
106,494767,13174,128,3
107,499389,13300,129,3
108,504033,13426,130,3
109,508774,13554,131,3
110,514326,13684,134,3
111,518729,13814,134,3
112,523788,13940,136,3
113,528950,14070,138,3
114,533320,14196,138,3
115,538539,14328,140,3
116,543983,14458,143,3
117,548714,14576,145,3
118,553158,14706,145,3
119,557911,14836,146,3
120,562540,14962,147,3
121,566867,15090,147,3
122,571740,15222,148,3
123,577303,15352,151,3
124,582130,15482,152,3
125,586078,15598,152,3
126,591192,15728,154,3
127,596032,15858,155,3
128,600522,15968,157,3
129,604627,16088,157,3
130,609101,16218,157,3
131,613503,16348,157,3
132,618332,16478,158,3
133,623050,16606,159,3
134,627258,16718,160,3
135,630842,16812,161,4
136,634523,16920,161,5
137,638742,17034,162,5
138,643528,17164,163,5
139,647938,17294,163,5
140,653089,17424,165,5
141,658217,17554,167,5
142,663427,17676,170,5
143,669319,17806,174,5
144,673766,17936,174,5
145,680013,18066,179,5
146,684478,18188,180,5
147,688123,18284,181,5
148,692997,18414,182,5
149,697434,18544,182,5
150,701320,18658,182,5
151,705040,18758,183,5
152,710534,18886,186,5
153,715784,19018,188,5
154,720941,19148,190,5
155,725778,19268,192,5
156,731007,19400,194,5
157,735405,19530,194,5
158,740126,19660,195,5
159,744860,19788,196,5
160,749188,19904,197,5
161,753823,20030,198,5
162,758951,20148,201,5
163,763685,20276,202,5
164,769824,20404,207,5
165,774457,20530,208,5
166,779944,20660,211,5
167,784248,20790,211,5
168,788819,20914,212,5
169,793057,21038,212,5
170,797934,21170,213,5
171,802641,21300,214,5
172,808244,21430,217,5
173,813021,21558,218,5
174,817327,21684,218,5
175,821721,21812,218,5
176,825964,21928,219,5
177,831040,22056,221,5
178,835499,22186,221,5
179,840196,22316,222,5
180,845762,22446,225,5
181,850150,22574,225,5
182,854809,22700,226,5
183,859194,22830,226,5
184,863972,22960,227,5
185,868823,23090,228,5
186,873984,23218,230,5
187,879002,23342,232,5
188,883198,23466,232,5
189,887565,23596,232,5
190,893656,23722,237,5
191,898490,23854,238,5
192,903227,23984,239,5
193,907977,24112,240,5
194,912774,24240,241,5
195,917603,24358,243,5
196,922338,24488,244,5
197,926613,24614,244,5
198,930902,24740,244,5
199,935177,24854,245,5
200,939565,24982,245,5
201,944433,25112,246,5
202,949211,25242,247,5
203,953814,25368,248,5
204,958861,25494,250,5
205,963079,25608,251,5
206,968123,25736,253,5
207,972614,25866,253,5
208,976940,25994,253,5
209,981601,26120,254,5
210,985807,26244,254,5
211,990099,26370,254,5
212,994797,26498,255,5
213,999241,26630,255,5
214,1004338,26748,258,5
215,1008413,26868,258,5
216,1013257,26998,259,5
217,1017630,27128,259,5
218,1022000,27258,259,5
219,1026292,27382,259,5
220,1031043,27502,261,5
221,1035457,27632,261,5
222,1039839,27762,261,5
223,1044547,27888,262,5
224,1050492,28018,266,5
225,1054464,28134,266,5
226,1060643,28260,271,5
227,1066155,28390,274,5
228,1070419,28516,274,5
229,1075159,28644,275,5
230,1080132,28770,277,5
231,1085197,28898,279,5
232,1090348,29028,281,5
233,1095176,29160,282,5
234,1099509,29286,282,5
235,1104024,29418,282,5
236,1108751,29544,283,5
237,1112542,29656,283,5
238,1116914,29784,283,5
239,1121971,29910,285,5
240,1126399,30038,285,5
241,1130270,30152,285,5
242,1135726,30280,288,5
243,1140460,30408,289,5
244,1144950,30530,290,5
245,1149725,30660,291,5
246,1153624,30774,291,5
247,1158658,30904,293,5
248,1163497,31034,294,5
249,1168228,31162,295,5
250,1173020,31294,296,5
251,1177748,31422,297,5
252,1182085,31546,297,5
253,1186857,31674,298,5
254,1191649,31804,299,5
255,1196376,31932,300,5
256,1201274,32064,301,5
257,1205591,32190,301,5
258,1209680,32298,302,5
259,1214460,32416,304,5
260,1219264,32546,305,5
261,1224403,32676,307,5
262,1229508,32806,309,5
263,1234647,32934,311,5
264,1238571,33048,311,5
265,1243387,33180,312,5
266,1247609,33304,312,5
267,1252055,33436,312,5
