real_time,simulation_time_ns,total_access_count,para_count,flip_count
268,1256517,33566,312,5
269,1261245,33696,313,5
270,1265702,33826,313,5
271,1270098,33956,313,5
272,1274357,34060,315,5
273,1279269,34184,317,5
274,1283719,34316,317,5
275,1287647,34434,317,5
276,1292123,34564,317,5
277,1298751,34694,323,5
278,1303574,34814,325,5
279,1307939,34944,325,5
280,1313463,35074,328,5
281,1318672,35204,330,5
282,1323655,35328,332,5
283,1328046,35458,332,5
284,1332505,35588,332,5
285,1336583,35698,333,5
286,1341033,35820,334,5
287,1346252,35952,336,5
288,1351023,36082,337,5
289,1355717,36198,339,5
290,1360495,36328,340,5
291,1364818,36444,341,5
292,1369599,36574,342,5
293,1374054,36704,342,5
294,1378840,36822,344,5
295,1383208,36952,344,5
296,1387610,37082,344,5
297,1392021,37212,344,5
298,1396501,37334,345,5
299,1400954,37466,345,5
