real_time,simulation_time_ns,total_access_count,trr_count,flip_count
226,1408716,28322,58,0
227,1414356,28438,58,0
228,1420782,28568,58,0
229,1427433,28688,60,0
230,1434241,28814,62,0
231,1440650,28944,62,0
232,1446964,29074,62,0
233,1453358,29204,62,0
234,1459809,29334,62,0
235,1466225,29464,62,0
236,1472312,29588,62,0
237,1479113,29710,64,0
238,1485463,29840,64,0
239,1492391,29968,66,0
240,1498725,30100,66,0
241,1505061,30230,66,0
242,1511230,30354,66,0
243,1517609,30482,66,0
244,1524036,30614,66,0
245,1530414,30744,66,0
246,1536669,30872,66,0
247,1542616,30994,66,0
248,1548591,31116,66,0
249,1554990,31246,66,0
250,1560935,31366,66,0
251,1567252,31494,66,0
252,1573268,31618,66,0
253,1578784,31730,66,0
254,1585811,31860,68,0
255,1591488,31960,70,0
256,1596896,32072,70,0
257,1603304,32202,70,0
258,1609725,32332,70,0
259,1616132,32462,70,0
260,1620952,32560,70,0
261,1626855,32680,70,0
262,1633201,32810,70,0
263,1639234,32932,70,0
264,1645064,33050,70,0
265,1650559,33162,70,0
266,1656710,33288,70,0
267,1662958,33414,70,0
268,1669198,33540,70,0
269,1675369,33666,70,0
270,1681658,33794,70,0
271,1687751,33918,70,0
272,1693927,34044,70,0
273,1700785,34170,72,0
274,1707051,34298,72,0
275,1714277,34430,74,0
276,1720839,34560,74,0
277,1727264,34690,74,0
278,1733035,34808,74,0
279,1739310,34938,74,0
280,1745678,35068,74,0
281,1752331,35190,76,0
282,1759435,35320,78,0
283,1765472,35444,78,0
284,1771681,35572,78,0
285,1778138,35704,78,0
286,1784373,35832,78,0
287,1789672,35940,78,0
288,1795429,36058,78,0
289,1801795,36188,78,0
290,1808208,36318,78,0
291,1814776,36450,78,0
292,1820815,36572,78,0
293,1827233,36702,78,0
294,1833319,36826,78,0
295,1839619,36954,78,0
296,1845823,37080,78,0
297,1850947,37184,78,0
298,1857312,37314,78,0
299,1863659,37444,78,0
